date,usd_idr,us10y_yield
2020-12-14,14069.1572265625,0.8920000195503235
2020-12-15,14221.900390625,0.9229999780654907
2020-12-16,14190.0,0.9200000166893005
2020-12-17,14070.537109375,0.9300000071525574
2020-12-18,14083.8505859375,0.9480000138282776
2020-12-21,14068.9375,0.9409999847412109
2020-12-22,14100.7314453125,0.9179999828338623
2020-12-23,14324.2001953125,0.9549999833106995
2020-12-24,14146.9013671875,0.9279999732971191
2020-12-25,14148.6435546875,
2020-12-28,13911.1435546875,0.9330000281333923
2020-12-29,14126.1201171875,0.9350000023841858
2020-12-30,14069.9091796875,0.9259999990463257
2020-12-31,13832.5595703125,0.9169999957084656
2021-01-01,13932.3740234375,
2021-01-04,14022.5009765625,0.9169999957084656
2021-01-05,13931.400390625,0.9549999833106995
2021-01-06,13930.0,1.0420000553131104
2021-01-07,13951.5,1.0709999799728394
2021-01-08,13892.9775390625,1.1050000190734863
2021-01-11,13861.392578125,1.1319999694824219
2021-01-12,14088.7353515625,1.1380000114440918
2021-01-13,14031.078125,1.0880000591278076
2021-01-14,14166.0,1.128999948501587
2021-01-15,14063.1474609375,1.097000002861023
2021-01-18,13880.779296875,
2021-01-19,14100.7998046875,1.0920000076293945
2021-01-20,14122.0,1.090000033378601
2021-01-21,14037.2001953125,1.1089999675750732
2021-01-22,13960.76171875,1.090999960899353
2021-01-25,14012.8955078125,1.0399999618530273
2021-01-26,14148.5,1.0399999618530273
2021-01-27,14142.0,1.0140000581741333
2021-01-28,14195.0,1.0570000410079956
2021-01-29,13854.8642578125,1.093000054359436
2021-02-01,13828.13671875,1.0770000219345093
2021-02-02,14118.5,1.1050000190734863
2021-02-03,13995.53515625,1.13100004196167
2021-02-04,13983.9521484375,1.1390000581741333
2021-02-05,14010.4736328125,1.1699999570846558
2021-02-08,14001.103515625,1.159999966621399
2021-02-09,13990.4599609375,1.156999945640564
2021-02-10,13989.1884765625,1.1330000162124634
2021-02-11,14027.0,1.1579999923706055
2021-02-12,13976.240234375,1.2000000476837158
2021-02-15,13966.0,
2021-02-16,13907.0,1.2990000247955322
2021-02-17,14039.2001953125,1.3009999990463257
2021-02-18,14007.474609375,1.2869999408721924
2021-02-19,13998.1982421875,1.3450000286102295
2021-02-22,13898.4169921875,1.3700000047683716
2021-02-23,14107.6962890625,1.3619999885559082
2021-02-24,14081.6171875,1.3890000581741333
2021-02-25,14097.7998046875,1.5180000066757202
2021-02-26,13968.185546875,1.4600000381469727
2021-03-01,14110.5849609375,1.4459999799728394
2021-03-02,14245.6201171875,1.4149999618530273
2021-03-03,14239.181640625,1.4700000286102295
2021-03-04,14349.0,1.5499999523162842
2021-03-05,14268.8798828125,1.5540000200271606
2021-03-08,14287.392578125,1.5959999561309814
2021-03-09,14344.4755859375,1.5460000038146973
2021-03-10,14393.0,1.5199999809265137
2021-03-11,14398.0,1.5269999504089355
2021-03-12,14283.900390625,1.6349999904632568
2021-03-15,14385.208984375,1.6069999933242798
2021-03-16,14464.0,1.621000051498413
2021-03-17,14427.5,1.6410000324249268
2021-03-18,14403.0,1.7300000190734863
2021-03-19,14431.0,1.7319999933242798
2021-03-22,14372.2001953125,1.684000015258789
2021-03-23,14375.7998046875,1.6380000114440918
2021-03-24,14505.5,1.6139999628067017
2021-03-25,14460.0,1.6139999628067017
2021-03-26,14456.400390625,1.659999966621399
2021-03-29,14411.0,1.7209999561309814
2021-03-30,14511.7001953125,1.7259999513626099
2021-03-31,14605.0,1.746000051498413
2021-04-01,14606.0,1.6790000200271606
2021-04-02,14553.0,
2021-04-05,14518.0,1.7200000286102295
2021-04-06,14529.2001953125,1.656000018119812
2021-04-07,14460.2998046875,1.652999997138977
2021-04-08,14641.0,1.6319999694824219
2021-04-09,14660.7001953125,1.6660000085830688
2021-04-12,14558.0,1.6749999523162842
2021-04-13,14611.900390625,1.6230000257492065
2021-04-14,14621.099609375,1.6380000114440918
2021-04-15,14673.7998046875,1.5299999713897705
2021-04-16,14616.0,1.5729999542236328
2021-04-19,14558.0,1.6009999513626099
2021-04-20,14570.0,1.562000036239624
2021-04-21,14543.2001953125,1.5640000104904175
2021-04-22,14564.2001953125,1.5540000200271606
2021-04-23,14606.599609375,1.5670000314712524
2021-04-26,14518.0,1.5700000524520874
2021-04-27,14459.599609375,1.621999979019165
2021-04-28,14516.400390625,1.6200000047683716
2021-04-29,14519.0,1.6399999856948853
2021-04-30,14439.7001953125,1.63100004196167
2021-05-03,14438.0,1.6069999933242798
2021-05-04,14399.099609375,1.5920000076293945
2021-05-05,14482.5,1.5839999914169312
2021-05-06,14399.5,1.5609999895095825
2021-05-07,14283.7998046875,1.5770000219345093
2021-05-10,14278.0,1.6019999980926514
2021-05-11,14189.599609375,1.6239999532699585
2021-05-12,14220.0,1.6950000524520874
2021-05-13,14347.0,1.6679999828338623
2021-05-14,14300.2998046875,1.6349999904632568
2021-05-17,14191.0,1.6399999856948853
2021-05-18,14344.5,1.6419999599456787
2021-05-19,14362.2998046875,1.6829999685287476
2021-05-20,14389.7001953125,1.6339999437332153
2021-05-21,14397.2998046875,1.6319999694824219
2021-05-24,14348.0,1.6080000400543213
2021-05-25,14365.0,1.5640000104904175
2021-05-26,14371.400390625,1.5740000009536743
2021-05-27,14310.0,1.6100000143051147
2021-05-28,14318.0,1.5809999704360962
2021-05-31,14278.0,
2021-06-01,14247.5,1.6150000095367432
2021-06-02,14251.5,1.590999960899353
2021-06-03,14290.7001953125,1.625
2021-06-04,14360.0,1.559999942779541
2021-06-07,14288.0,1.569000005722046
2021-06-08,14246.5,1.527999997138977
2021-06-09,14281.0,1.4889999628067017
2021-06-10,14300.0,1.4589999914169312
2021-06-11,14248.5,1.4620000123977661
2021-06-14,14182.0,1.5010000467300415
2021-06-15,14267.5,1.4989999532699585
2021-06-16,14280.2998046875,1.569000005722046
2021-06-17,14466.5,1.5110000371932983
2021-06-18,14554.7001953125,1.4500000476837158
2021-06-21,14368.0,1.4839999675750732
2021-06-22,14388.7998046875,1.472000002861023
2021-06-23,14495.0,1.4869999885559082
2021-06-24,14413.2998046875,1.4869999885559082
2021-06-25,14511.2001953125,1.5360000133514404
2021-06-28,14418.0,1.4780000448226929
2021-06-29,14525.0,1.4800000190734863
2021-06-30,14629.099609375,1.4429999589920044
2021-07-01,14601.599609375,1.4800000190734863
2021-07-02,14581.400390625,1.430999994277954
2021-07-05,14526.0,
2021-07-06,14495.0,1.3700000047683716
2021-07-07,14568.7001953125,1.3209999799728394
2021-07-08,14569.2001953125,1.2879999876022339
2021-07-09,14618.7001953125,1.3559999465942383
2021-07-12,14521.0,1.3630000352859497
2021-07-13,14558.5,1.4149999618530273
2021-07-14,14542.099609375,1.3559999465942383
2021-07-15,14473.0,1.2970000505447388
2021-07-16,14563.0,1.2999999523162842
2021-07-19,14491.0,1.180999994277954
2021-07-20,14664.5,1.2089999914169312
2021-07-21,14620.0,1.2799999713897705
2021-07-22,14536.0,1.2649999856948853
2021-07-23,14548.7001953125,1.2860000133514404
2021-07-26,14486.0,1.2760000228881836
2021-07-27,14523.5,1.2339999675750732
2021-07-28,14554.0,1.2610000371932983
2021-07-29,14462.599609375,1.2690000534057617
2021-07-30,14450.0,1.2389999628067017
2021-08-02,14456.0,1.1740000247955322
2021-08-03,14397.400390625,1.1759999990463257
2021-08-04,14349.5,1.184000015258789
2021-08-05,14338.599609375,1.2170000076293945
2021-08-06,14385.5,1.2899999618530273
2021-08-09,14346.0,1.3170000314712524
2021-08-10,14402.099609375,1.3420000076293945
2021-08-11,14393.099609375,1.3289999961853027
