date,realized_variance,variance_EWMA(lambda=0.94),"variance_GARCH(1,1)","variance_EGARCH(1,1)","variance_GJR-GARCH(1,1)"
2025-04-02,0.2262797887839404,0.3587404238937233,0.27684186589628595,0.31552034250989436,0.2775406130961511
2025-04-03,0.0020621522701600578,0.3507927857871363,0.27410559705708404,0.3242307803675546,0.27535756623256447
2025-04-04,2.2884846136596376e-05,0.3298689477761177,0.24674265636373943,0.270551674477991,0.24788936319508506
2025-04-07,0.00011573589408764737,0.31007818400031883,0.22241612907143435,0.2235536987939585,0.22346340646506768
2025-04-08,0.49101532475717,0.29148043711394495,0.20095952756661792,0.18729746335676478,0.20191344626502458
2025-04-09,1.3393028314781463,0.30345253037253844,0.23716955180343932,0.23981478747415166,0.2393714810102932
2025-04-10,2.118609382442427,0.365603548438875,0.36642904256200426,0.3736551973436946,0.37215141752173336
2025-04-11,0.028311515992862874,0.4707838984790882,0.5774885013725687,0.5922701415999547,0.5755362222172977
2025-04-14,0.0742274190002561,0.4442355555299146,0.5734462491855592,0.5077854994767325,0.5713991924810775
2025-04-15,0.0022718991482766435,0.4220350673381351,0.5074002846665895,0.4600186668225833,0.5054513453722425
2025-04-16,0.03977767411403714,0.39684927724674357,0.43973275641539633,0.3835622507490197,0.4381319670333965
2025-04-17,0.012650675958468652,0.37542498105878114,0.38670565786354605,0.34075291626838367,0.3855013893652656
2025-04-22,0.014593568357476041,0.3536585227527624,0.3385317780757567,0.2962318608635315,0.3375052458235926
2025-04-23,0.06583375587116397,0.33331462548904517,0.2969475692867763,0.2576013034157725,0.29614107020031444
2025-04-24,0.005155102072238563,0.3172657733119723,0.2685603406525002,0.24266172812009676,0.26808916130800026
2025-04-25,0.161197029202787,0.2985391330375883,0.23652332721288255,0.21021790317703506,0.23612949760732369
2025-04-28,0.07015573692703643,0.2902986068075002,0.23325034434455705,0.22339520995019024,0.23231510877686334
2025-04-29,0.02774805260433002,0.27709003461467235,0.2148388147076131,0.21425874678839327,0.21426004878790003
2025-04-30,0.24603179072103884,0.2621295156940518,0.19434248368832216,0.19753145076241052,0.19376084045824232
2025-05-01,0.9965436486953907,0.261163652195671,0.2100658366268964,0.224619125447945,0.20863439559723768
2025-05-02,0.13145810989554108,0.3052864519856542,0.33553431048514626,0.33397589348047474,0.33047024569656996
2025-05-05,0.7798445201100149,0.29485675146024737,0.3107686452416181,0.32331700977064926,0.306883707471474
2025-05-06,0.05483762091673311,0.3239560175792334,0.38917189959112575,0.40886387718693307,0.38287363355646714
2025-05-07,0.004085783332639808,0.3078089137794834,0.3472470482172475,0.3709346667476294,0.3417130572654142
2025-05-08,0.13550634055780222,0.28958552595267273,0.3030261620028515,0.3109270544734505,0.2983495704827787
2025-05-09,0.07657277634638344,0.2803407748289805,0.28361822180266155,0.30417426005964965,0.28007123902265163
2025-05-12,0.0008071349722954565,0.26811469492002465,0.25870327008952015,0.28519241817304525,0.2559258374167959
2025-05-13,0.7699765795348853,0.25207624132316087,0.2271410199911974,0.2371057161750717,0.22479534313976204
2025-05-14,0.2885095927065362,0.2831502616158644,0.3104984650761039,0.31804626972014144,0.3110688841430488
2025-05-15,0.06176087068397684,0.2834718214813047,0.31552375213017975,0.3412339437449966,0.3149314794600732
2025-05-16,0.07874062954036201,0.270169164433465,0.28549638297808777,0.3162040536399898,0.28479031592891946
2025-05-19,0.0225940748782398,0.25868345233987877,0.2624896769838771,0.29961233748597643,0.261615611207645
2025-05-20,0.12852192625530043,0.24451808969218045,0.23417300281093065,0.2673317608793011,0.23336778285224008
2025-05-21,0.02319380247817631,0.23755831988596765,0.2262962955209263,0.2684212173211643,0.2251360623391733
2025-05-22,0.1144584768933829,0.22469644884150017,0.20339734224437542,0.2415078982922607,0.20233918768559447
2025-05-23,0.003235071228577612,0.21808217052461312,0.19791090491883526,0.24284782428598362,0.19658373381736813
2025-05-26,0.8027848892301511,0.20519134456685098,0.17555103923098767,0.20606242040267508,0.1744348467148668
2025-05-27,0.040112262456352965,0.241046957246649,0.27725742514582197,0.2961563185491527,0.27320792144100015
2025-05-28,0.047659468820022734,0.22899087555923123,0.24817164355040316,0.2679442154847939,0.244850188576641
2025-05-29,0.0018482210817246155,0.21811099115487873,0.22441304457991582,0.2465209093075428,0.22173068715390593
2025-05-30,0.0018466329705868721,0.20513522495048947,0.19799808843722824,0.20748180885079479,0.19572827066236606
2025-06-02,0.031624338526251516,0.1929379094316953,0.1754677536773802,0.17564919301675472,0.1735451318797563
2025-06-03,0.0422119092312675,0.18325909517736866,0.1601788124674109,0.16320336091335957,0.15862784665674629
