date,usd_idr,us10y_yield,log_return_pct,us10y_change_bp,return_lag_1,abs_return_lag_1,return_lag_2,abs_return_lag_2,return_lag_5,abs_return_lag_5,return_lag_10,abs_return_lag_10,return_lag_20,abs_return_lag_20,rolling_vol_5,rolling_vol_20,us10y_change_bp_lag_1,direction_up,high_vol_probability_filtered,high_vol_probability_filtered_lag_1,high_vol_probability_smoothed
2023-12-29,15425.0,3.865999937057495,0.337684586098913,1.6000032424927202,-0.17547854891210815,0.17547854891210815,-0.388853373969248,0.388853373969248,-0.503909587512742,0.503909587512742,1.255586868739173,1.255586868739173,0.9193657374325787,0.9193657374325787,0.3193184024620725,0.7684542388875545,6.0999870300292525,1,0.0266253318207151,0.026748038695932105,0.005600997477132797
2024-01-01,15383.099609375,3.865999937057495,-0.2720090949521681,0.0,0.337684586098913,0.337684586098913,-0.17547854891210815,0.17547854891210815,-0.19967982784809235,0.19967982784809235,-1.2045373500778511,1.2045373500778511,-0.7222447035734653,0.7222447035734653,0.3325430272288467,0.7419372096964925,1.6000032424927202,0,0.023958964131949007,0.0266253318207151,0.0059927196359950575
2024-01-02,15383.0,3.946000099182129,-0.0006475268315816516,8.000016212463379,-0.2720090949521681,0.2720090949521681,0.337684586098913,0.337684586098913,0.3291296841126606,0.3291296841126606,1.11657774745952,1.11657774745952,0.53299346664147,0.53299346664147,0.3437288103772016,0.7268279191335072,0.0,0,0.017232375889587988,0.023958964131949007,0.008389387248282618
2024-01-03,15498.0,3.9070000648498535,0.7447979768144393,-3.900003433227539,-0.0006475268315816516,0.0006475268315816516,-0.2720090949521681,0.2720090949521681,-0.388853373969248,0.388853373969248,0.00387978652122531,0.00387978652122531,-0.4061121434462394,0.4061121434462394,0.2829129838325219,0.7152538595137785,8.000016212463379,1,0.10640015902933055,0.017232375889587988,0.024979978532735904
2024-01-04,15555.0,3.990999937057495,0.3671147007841835,8.39998722076416,0.7447979768144393,0.7447979768144393,-0.0006475268315816516,0.0006475268315816516,-0.17547854891210815,0.17547854891210815,0.4068064887678001,0.4068064887678001,0.1486892991399653,0.1486892991399653,0.41625042681931473,0.7307426843094149,-3.900003433227539,1,0.06254993921934252,0.10640015902933055,0.01206924260790343
2024-01-05,15511.0,4.041999816894531,-0.28326807069865517,5.099987983703613,0.3671147007841835,0.3671147007841835,0.7447979768144393,0.7447979768144393,0.337684586098913,0.337684586098913,-0.503909587512742,0.503909587512742,0.1291155763619808,0.1291155763619808,0.3874531009030479,0.734496091103262,8.39998722076416,0,0.03746556178550263,0.06254993921934252,0.006761353694830443
2024-01-08,15477.5,4.001999855041504,-0.21620932313636074,-3.9999961853027344,-0.28326807069865517,0.28326807069865517,0.3671147007841835,0.3671147007841835,-0.2720090949521681,0.2720090949521681,-0.19967982784809235,0.19967982784809235,0.38763607649323095,0.38763607649323095,0.44212635885713175,0.7371782683119361,5.099987983703613,0,0.025007163045966275,0.03746556178550263,0.004538296546574776
2024-01-09,15495.5,4.019000053405762,0.11623027815467044,1.7000198364257812,-0.21620932313636074,0.21620932313636074,-0.28326807069865517,0.28326807069865517,-0.0006475268315816516,0.0006475268315816516,0.3291296841126606,0.3291296841126606,0.5562820629787064,0.5562820629787064,0.43058915118468244,0.7329730841972169,-3.9999961853027344,1,0.018245758631003077,0.025007163045966275,0.0035443387247980195
2024-01-10,15534.5,4.03000020980835,0.2513697746419373,1.100015640258789,0.11623027815467044,0.11623027815467044,-0.21620932313636074,0.21620932313636074,0.7447979768144393,0.7447979768144393,-0.388853373969248,0.388853373969248,-0.49974476123827255,0.49974476123827255,0.4253831444774064,0.7210616545009298,1.7000198364257812,1,0.01953058540939566,0.018245758631003077,0.003772583068780627
2024-01-11,15555.0,3.9769999980926514,0.1318773410384277,-5.300021171569824,0.2513697746419373,0.2513697746419373,0.11623027815467044,0.11623027815467044,0.3671147007841835,0.3671147007841835,-0.17547854891210815,0.17547854891210815,-1.9064252649878446,1.9064252649878446,0.2860897555399802,0.7158719968789868,1.100015640258789,1,0.016992557220668877,0.01953058540939566,0.003357414850162039
2024-01-12,15556.5,3.950000047683716,0.009642736616117201,-2.6999950408935547,0.1318773410384277,0.1318773410384277,0.2513697746419373,0.2513697746419373,-0.28326807069865517,0.28326807069865517,0.337684586098913,0.337684586098913,1.255586868739173,1.255586868739173,0.23509314405743512,0.5599529956530737,-5.300021171569824,1,0.015428015656774832,0.016992557220668877,0.003506576319464482
2024-01-15,15503.2001953125,3.950000047683716,-0.34320908876534645,0.0,0.009642736616117201,0.009642736616117201,0.1318773410384277,0.1318773410384277,-0.21620932313636074,0.21620932313636074,-0.2720090949521681,0.2720090949521681,-1.2045373500778511,1.2045373500778511,0.17590336822740862,0.4882674326973235,-2.6999950408935547,0,0.02372900660728418,0.015428015656774832,0.005377627274145476
